,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,Documentary,Sci-Fi,Drama,N/A,Fantasy,Horror,Thriller,Action,Adventure,War,Comedy,Music,Mystery,History,Biography,Crime,Family,Romance,Western,Sport,News,Animation,Musical,Short,Reality-TV,Game-Show
10,A Gesture and a Word,2015,N/A,N/A,105 min,"Documentary, Music",Dave Davidson,N/A,"Marshall Crenshaw, Suzzy Roche, Brad Roberts, Stewart Lerman","At age 50, musician and poet, Rob Morsberger was diagnosed with terminal brain cancer - and it came at the high point in his career. After 25 years in the music business, critics were ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt4860408,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Identity,2003,R,25 Apr 2003,90 min,"Mystery, Thriller",James Mangold,Michael Cooney,"John Cusack, Ray Liotta, Amanda Peet, John Hawkes","Stranded at a desolate Nevada motel during a nasty rain-storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one.",English,USA,1 win & 11 nominations.,https://m.media-amazon.com/images/M/MV5BMjE2NzgyNDYzNl5BMl5BanBnXkFtZTYwODM2Nzc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,7.3,"216,113",tt0309698,movie,06 Sep 2005,"$51,475,962",Columbia Pictures,N/A,True,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Apparition Hill,2016,PG-13,25 Nov 2016,115 min,Documentary,Sean Bloomfield,Sean Bloomfield,N/A,Seven strangers investigate the greatest paranormal mystery in the world.,English,"USA, Bosnia and Herzegovina",N/A,https://m.media-amazon.com/images/M/MV5BOTllYmE5NzgtN2RkZS00YzE3LTllMzItZWRmMjIwOGFmMjA5XkEyXkFqcGdeQXVyNDY3NjQ2OTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}]",N/A,9.0,44,tt5260002,movie,24 Jun 2017,N/A,Stella Mar Films,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,The Most Dangerous Game,2016,N/A,19 Jun 2016,63 min,Action,Andrew Legatt,"Andrew Legatt, Andrew Ringate","RaeAnn Athman, Collin Dahlman, Caitlin Daly, Ethan Her",The Most Dangerous Game is a near full length film (1 hour long) brought to you by Jaca Film and LegEdit. The Most Dangerous Game is about a man by the name of Renegade (Andrew Ringate) ...,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt6209344,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Manhattan, Kansas",2006,Not Rated,01 Mar 2006,75 min,Documentary,Tara Wray,Tara Wray,Evie Wray,"A loving daughter documents her reunion with her mentally-unstable mother in this heartfelt and decidedly personal documentary from filmmaker Tara Wray. When Wray was just a child, her ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTU5MDc2ODk1NF5BMl5BanBnXkFtZTcwOTkyNjgyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,43,tt0449067,movie,18 Nov 2008,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Vanished,2018,N/A,09 Feb 2018,84 min,N/A,Matt Spade,Matt Spade,"Andrew Hunsicker, Gene Connelly, Michael Covach","In the fall of 1993, more than 8 kids disappear. This town has some deep and dark secrets buried, along with another type of evil. A young boy in '93 finds himself returning to his hometown to dig up the evil that is buried.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmE3N2IwNWUtNWQ0NC00NDUzLWI1NmMtZTM4YzFmYWVjNmMwXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt7422416,movie,N/A,N/A,N/A,N/A,True,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Chappaquiddick,2017,PG-13,06 Apr 2018,106 min,"Drama, History, Thriller",John Curran,"Taylor Allen, Andrew Logan","Jason Clarke, Kate Mara, Ed Helms, Bruce Dern","Depicting Ted Kennedy's involvement in the fatal 1969 car accident that claims the life of a young campaign strategist, Mary Jo Kopechne.",English,"USA, Sweden",4 nominations.,https://m.media-amazon.com/images/M/MV5BMTU1ODM2Nzk1OV5BMl5BanBnXkFtZTgwMzA4MTc5NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.5,"10,632",tt5270948,movie,10 Jul 2018,N/A,Entertainment Studios Motion Pictures,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2 Dudes and a Dream,2009,Not Rated,03 Feb 2009,89 min,Comedy,Nathan Bexton,"Brian Drolet (story), Jordan Eubanks (story), Nathan Bexton (additional writing), Will Strode (additional writing), Brian Drolet","Brian Drolet, Nick Nicotera, Tanja Reichert, Jordan Eubanks",Fate brings 2 Dudes to Los Angeles who become friends while following their dreams. Along the way they encounter tons of wacky characters and Hollywood at its weirdest!,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTUzODI4NjQ0Ml5BMl5BanBnXkFtZTcwMTUyODk5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,115,tt1305579,movie,02 Feb 2010,N/A,WARNER BROTHERS PICTURES,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Keepers of the Game,2016,N/A,19 Apr 2016,82 min,Documentary,Judd Ehrlich,N/A,"Tsiotenhariio Herne, Jacelyn Lazore, Mimi Lazore, Marcella Thomas","Lacrosse was born in Akwesasne Mohawk Territory as a sacred game, traditionally reserved for men. Just off the reservation at Salmon River High in Fort Covington, NY an all-Native girls ...",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYjVkMzAyN2EtYmM3NS00ODA0LTg1NmMtYzIxZDczZjFkODgwXkEyXkFqcGdeQXVyMTQ0NjIwODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,52,tt5646004,movie,N/A,N/A,Flatbush Pictures,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Rifftrax: Order in the Shorts,2011,N/A,25 Jan 2011,124 min,Comedy,N/A,"Bill Corbett, Conor Lastowka, Kevin Murphy, Michael J. Nelson, Sean Thomason","Veronica Belmont, Bill Corbett, Kevin Murphy, Michael J. Nelson",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt6361584,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Rock Hudson's Home Movies,1992,Not Rated,N/A,63 min,"Documentary, Biography",Mark Rappaport,Mark Rappaport,"Eric Farr, Lauren Bacall, Cyd Charisse, Marc Christian",Documentary about the career and eventual death from AIDS of actor Rock Hudson.,English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTI2NjgyODUyNV5BMl5BanBnXkFtZTcwNDAyMDAyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,360,tt0105268,movie,05 Apr 2005,N/A,Water Bearer Films Inc.,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,AWOL-72,2015,R,25 Sep 2015,82 min,"Action, Thriller",Christian Sesma,"Cecil Chambers, Christian Sesma","Luke Goss, Heather Roop, RZA, Bokeem Woodbine","An AWOL marine in possession of secret government information, is a wanted man, pursued by Russian special ops, the LAPD, and a dangerous assassin.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTkyOTM3OTI2N15BMl5BanBnXkFtZTgwNzIxNjk1NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}]",N/A,3.8,814,tt2048865,movie,01 Mar 2016,N/A,Triumphant Entertainment,N/A,True,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Shooting for Home,2012,N/A,09 Nov 2012,72 min,Documentary,Greg Kappy,N/A,Jeff Polinsky,"Banished from his racially-charged Florida town, African American basketball star Kevin Bradshaw was homeless before getting called to play professionally in Israel. There, he fell in love ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2Q3YjQ2MmMtZWZiYi00MjdjLTliYzQtOTgyZjc0ZDQ4YTEyXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,[],N/A,N/A,N/A,tt2197240,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Home by Now,2016,N/A,25 Mar 2016,123 min,Drama,Ashish Yagnik,Ashish Yagnik,"Brian A. Mason, Laura Pellegrini, Connor Keegan Dosch, Emily McKeon","A young man jeopardizes his wonderful, fulfilling life because of his perpetual longing for the ""good old days"".",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNWJjMjdlM2YtNTY3MS00NmI5LThmYzQtMmU2MWZiNmFkOTcxXkEyXkFqcGdeQXVyNTU1NTMwNjA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt5582572,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,The Amber Lantern,2014,N/A,18 Oct 2014,110 min,Horror,Ron Haese,Ron Haese,Kurtis Hopp,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt4073768,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Where the Truth Lies,2005,R,07 Oct 2005,107 min,"Crime, Drama, Mystery, Thriller",Atom Egoyan,"Atom Egoyan (screenplay), Rupert Holmes (novel)","Kevin Bacon, Colin Firth, Alison Lohman, David Hayman","Karen O'Connor, a young journalist known for her celebrity profiles, is consumed with discovering the truth behind a long-buried incident that affected the lives and careers of showbiz team Vince Collins and Lanny Morris.","English, Cantonese","Canada, UK",2 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTI2NzQ3ODc3OV5BMl5BanBnXkFtZTcwMjEzMTEzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,6.5,"16,618",tt0373450,movie,28 Aug 2007,N/A,N/A,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
26,S.F.W.,1994,R,20 Jan 1995,96 min,"Comedy, Drama",Jefery Levy,"Andrew Wellman (novel), Danny Rubin (screenplay), Jefery Levy (screenplay)","Stephen Dorff, Reese Witherspoon, Jake Busey, Joey Lauren Adams",An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.,English,USA,5 nominations.,https://m.media-amazon.com/images/M/MV5BNDlhMDg4OGQtYjIxMi00ZjY0LWEwOTktOWU3YWRiYzZlZjRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}]",N/A,5.8,"4,585",tt0111048,movie,17 Jun 2003,N/A,Gramercy Pictures,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Redemption of the Commons,2014,N/A,26 Apr 2014,91 min,Drama,K.T. Terry,K.T. Terry,"Jeremy Marr Williams, Susan Loraine Anderson, Ed Silvera, Storm Smith","Victor seems to have it all together - good looks, his own branding company, and life in L.A. But appearances can be deceiving, because in reality, he's broke, living out of his van, ...",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjAxNzQyNjUzOV5BMl5BanBnXkFtZTcwMzMxNzYzOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,9,tt2581306,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,A Texas Tale,2005,UNRATED,15 Aug 2005,75 min,"Action, Comedy, Crime",Jason Roger Rodriguez,Andy Bowles,"Andy Bowles, Larry Stanley, Jessica McClendon, John Dalton",A Texas Tale is kind of a blue collar spy movie with characters that are based on the stereotypical way people of the world imagine Texans. The story is of the personal life of Johnny Roads...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDQ4MjQ0NTAxOF5BMl5BanBnXkFtZTcwNzU0MzU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,25,tt0480023,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,Wearing Normal,2012,N/A,01 Aug 2012,63 min,Drama,Marc Steele,Marc Steele,"Corey Brunish, Jessica Claire, Parker Eggiman, Elisabeth Goebel","An adult brother and sister struggle with their mother's desire to be euthanized when her Alzheimer's becomes too advanced. Ellen, the ultra responsible, successful sister believes only God...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTcxOTAxOTg5OF5BMl5BanBnXkFtZTcwMjY0NzgxOA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt2328827,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Beyond the Night,2018,N/A,01 Jan 2019,98 min,"Drama, Mystery, Thriller",Jason Noto,Jason Noto,"Tammy Blanchard, Zane Holtz, Azhy Robertson, Caitlin Mehner","When a soldier's son reveals damning information about a local gangster's missing daughter, a war of attrition wreaks havoc on their forgotten coal mining town.",N/A,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BMjJhODFjNDQtYmE3Yi00NTc1LWE5ODgtMzNkYTE4YzFhYjQyXkEyXkFqcGdeQXVyMjQyOTU4NTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,5.2,209,tt5909334,movie,N/A,N/A,Reckless Productions,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,The Fixer,2019,N/A,29 Jan 2019,95 min,"Crime, Drama, Thriller",Nicholas J. Michalak,Nicholas J. Michalak,"Nick Doetsch, Carmina Elizabeth, Ryan Salzwedel, CJ Koenig","Vic Simmons helps people in desperate situations where the law cannot act. He faces a dire situation when a domineering ex-boyfriend beings stalking and threatening Katie, the younger sister of a deceased friend who he vowed to protect.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTNmZjZjZTYtNmM2OC00YWMwLTg0MTItNTI0OTE1MWEwYTkxXkEyXkFqcGdeQXVyMDE0OTk5MQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9715438,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,Purple Haze,2011,N/A,N/A,85 min,"Drama, Horror, Thriller",Lee Zellars,"Anthony Russell, Lee Zellars","Sigmund Maley, Tara Mitchell Holman",Purple Haze is a movie about a talented musician from Haiti. The CEO of Colossal Records got wind of this raw talented musician and signed him to a deal. Sam Lucci the owner of Colossal ...,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2064909,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Exorcist: House of Evil,2016,Not Rated,02 May 2016,93 min,"Horror, Mystery, Thriller",David Trotti,David Trotti,"Amy Holland Pennell, Connor Trinneer, Mark Holzum, Peter Mayer","Based on a true story, shot in THE REAL EXORCIST HOUSE, a young woman returns to her old family home, the site of an infamous exorcism and discovers the devil never left. This film was shot...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTcyMGM2N2QtNGExYS00Y2ZiLWJhY2QtYjUwNTJhNzk4OGRiXkEyXkFqcGdeQXVyMzQxNzMxMA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}]",N/A,4.5,"1,203",tt4864584,movie,N/A,N/A,Spiritus Mundi,N/A,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Inventing L.A.: The Chandlers and Their Times,2009,N/A,24 Jan 2009,117 min,Documentary,"Peter Jones, Mark A. Catalena",Peter Jones,"Dorothy Chandler, Harry Brant Chandler, Norman Chandler, Mike Davis","Inventing LA: The Chandlers and Their Times, tells the story of the Los Angeles Times and the city's most powerful family. For four generations, the Chandlers wielded unique influence ...",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTQyNjA1MTUwMF5BMl5BanBnXkFtZTcwNzI0MzEyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,33,tt1368463,movie,06 Oct 2009,N/A,PBS,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Bloodlines,1998,N/A,15 Mar 1998,96 min,Drama,Timothy Alan Richardson,"Michael Kouroubetes, Timothy Alan Richardson","Bryce Cone, Keith Gligorich, Michael Kouroubetes, Freda Richardson","After his mother's sudden death, a teenage Amish boy named Eli runs away to find his non-Amish father who lives in Chicago. His is a journey of hope, a dream he wishes to fulfill, even against danger and despair.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt2412724,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Buck Naked Arson,2001,R,24 Apr 2001,85 min,"Drama, Comedy",Amy Snow,Amy Snow,"Rider Strong, Azura Skye, Christine Lakin, William Russ","In the vein of ""The Breakfast Club"", four teens head to the forest to celebrate grad night and end up with more than hang overs when they are detained by the Ranger on charges of arson.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMjg2MjIxOTk1N15BMl5BanBnXkFtZTcwNDA1NTUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,120,tt0294413,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
